ticker,weight
DASH,0.0009377722353139317
APO,0.0009341501023122497
TEL,0.0009270359129083935
TRGP,0.0009267857656016475
KEYS,0.000925815194051473
OKE,0.000923193650276775
URI,0.0009210623952232991
CTAS,0.0009158593312429825
F,0.0009136280172668081
LHX,0.0009121271334263321
HOOD,0.0009067839869542376
D,0.0009023313648941588
PCAR,0.0008976986367732231
O,0.0008931859793595252
TGT,0.0008857315896184945
AZO,0.0008805085138536381
TER,0.0008788775534136542
ALL,0.0008771065104818925
ABNB,0.000873204212496655
AFL,0.0008568745963122764
GWW,0.0008543731232448164
DVN,0.0008481794759297855
COR,0.0008345114270891842
CTVA,0.0008333607494781527
NKE,0.0008298486812914388
NUE,0.000828157685497836
AJG,0.0008219740440750749
EBAY,0.0008191423765627102
AME,0.0008092365432155688
ROK,0.0007958886829276024
ADSK,0.0007956785591899358
ETR,0.0007935372982441901
MCHP,0.0007917362376356189
FAST,0.0007895149295517144
EW,0.0007793189253287475
VST,0.0007792789017596683
HPE,0.0007765072696009225
DAL,0.0007730152131987485
CARR,0.0007724648891239074
CVNA,0.0007558851256327827
PSA,0.0007545243242840845
XEL,0.0007505219673761486
EXC,0.0007380646315001978
CAH,0.0007354630995100395
MET,0.0007200940489835655
ON,0.0007112588461092968
EA,0.0007081770312901863
IDXX,0.0006966602492876005
FITB,0.000695819754336934
WAB,0.0006842429369807293
YUM,0.000673816797235556
MSCI,0.0006733165026220642
STT,0.0006730863670998577
CMG,0.0006668927197848269
OXY,0.0006595884184278439
RSG,0.0006582076052946058
BDX,0.0006545554546161144
VTR,0.0006536749360963684
AIG,0.0006434789318734016
AMP,0.0006427284899531636
COIN,0.0006424883485386875
NDAQ,0.00063608457748599
PYPL,0.0006338432576175458
CCI,0.0006220363047391347
PEG,0.0006198550202243097
KDP,0.0006177437769553735
TTWO,0.0006175936885713259
GRMN,0.0006166431288056911
ED,0.0006126607836822948
KR,0.0006095789688631841
FANG,0.000608148126268597
ODFL,0.0006039956809766135
DHI,0.0006026849090892645
JBL,0.0005979721338301699
EME,0.0005943600067207578
HIG,0.0005934194528473928
CBRE,0.0005927390521730437
CBOE,0.000582843224718172
IRM,0.0005824930184887277
ADM,0.0005811422230322993
XYZ,0.0005801216220207757
HUM,0.0005794512272386963
WEC,0.0005774900723538077
SYY,0.0005701657592122849
PCG,0.0005670539267163648
IBKR,0.0005665536321028728
EQT,0.0005654429780609204
PRU,0.0005559874098659218
ROP,0.0005423994081634793
HAL,0.0005403081766790827
VMC,0.0005379267743188609
ACGL,0.0005355253601740992
ZTS,0.0005345848063007344
KVUE,0.0005251492498902754
WAT,0.0005222075175629425
CCL,0.0005210868576287204
STLD,0.0005158937995406735
KMB,0.0005148731985291498
Q,0.0005107807885907854
UAL,0.0005062781370693574
MLM,0.0005062080958234685
HBAN,0.0005061280486853099
A,0.0005053876126573417
MTB,0.0005032963811729451
PAYX,0.0004918196227394388
NTRS,0.0004857660579161857
VICI,0.000483995014984424
FISV,0.0004810833003339006
AEE,0.0004801327405682658
EXR,0.00047605033652217124
CASY,0.00047556004780094905
AXON,0.0004745894762507746
RMD,0.0004734988339933621
DTE,0.000470186883652045
CPRT,0.0004694264358395372
FICO,0.0004603210738739829
GEHC,0.00045888022538712595
NRG,0.00045717922370125326
ATO,0.00045650882891917386
TDY,0.00045346703766914264
HSY,0.0004499349576978891
IQV,0.00044657297789522287
BIIB,0.0004455023474223501
OTIS,0.000443941428228255
DOV,0.0004400391302430175
TPR,0.0004360167615505419
CNP,0.00043565654942882766
DXCM,0.0004312939803991775
CNC,0.00043089374470838384
FSLR,0.0004306435974016379
EIX,0.0004294428903292571
NTAP,0.0004284723187790826
WDAY,0.00042437990884071813
XYL,0.0004189166916613856
PPL,0.0004186465325700999
CFG,0.00041527454687516384
RJF,0.0004126630089927356
AVB,0.0004110420544450216
CINF,0.000410641818754228
LYV,0.00041003145932576773
ES,0.0004089107993915457
DOW,0.0004022568810321022
ARES,0.0004001156200863565
VRSN,0.00039712385829767435
HUBB,0.0003933816545887543
